obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('24',)",3716913800,7,3.570590019,3742013811,3742013812,3716913800,0,internal_timestamp,75.31400299,1507925000,33.81090164,0,8.627900124,1026.5924,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('25',)",3716913802,7,3.570600033,3742013811,3742013812,3716913802,0,internal_timestamp,75.31099701,1507925002,33.81100082,0,8.627900124,1026.592463,29,13,29,13,29,29,29,13,29,29,44.6355,-124.30293
"('26',)",3716913802,7,3.570590019,3742013811,3742013812,3716913802,0,internal_timestamp,75.31600189,1507925002,33.81090164,0,8.627900124,1026.592409,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('27',)",3716913802,7,3.570590019,3742013811,3742013812,3716913802,0,internal_timestamp,75.31800079,1507925002,33.81090164,0,8.627900124,1026.592418,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('28',)",3716913802,7,3.570580006,3742013811,3742013812,3716913802,0,internal_timestamp,75.31800079,1507925002,33.81079865,0,8.628000259,1026.592322,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('29',)",3716913802,7,3.570580006,3742013811,3742013812,3716913802,0,internal_timestamp,75.31999969,1507925002,33.81069946,0,8.628100395,1026.592238,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('30',)",3716913802,7,3.570590019,3742013811,3742013812,3716913802,0,internal_timestamp,75.31999969,1507925002,33.81060028,0,8.628199577,1026.592144,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('31',)",3716913802,7,3.570590019,3742013811,3742013812,3716913802,0,internal_timestamp,75.32299805,1507925002,33.8103981,0,8.628399849,1026.591969,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('32',)",3716913802,7,3.570590019,3742013811,3742013812,3716913802,0,internal_timestamp,75.32700348,1507925002,33.81029892,0,8.628499985,1026.591894,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('33',)",3716913802,7,3.570600033,3742013811,3742013812,3716913802,0,internal_timestamp,75.3239975,1507925002,33.81019974,0,8.628700256,1026.591771,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('34',)",3716913802,7,3.570610046,3742013811,3742013812,3716913802,0,internal_timestamp,75.33000183,1507925002,33.81019974,0,8.628800392,1026.591783,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('35',)",3716913802,7,3.570630074,3742013811,3742013812,3716913802,0,internal_timestamp,75.33300018,1507925002,33.81029892,0,8.62899971,1026.591843,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('36',)",3716913802,7,3.570650101,3742013811,3742013812,3716913802,0,internal_timestamp,75.33599854,1507925002,33.8105011,0,8.62899971,1026.592015,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('37',)",3716913802,7,3.570660114,3742013811,3742013812,3716913802,0,internal_timestamp,75.33799744,1507925002,33.8105011,0,8.629099846,1026.592009,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('38',)",3716913802,7,3.570669889,3742013811,3742013812,3716913802,0,internal_timestamp,75.33999634,1507925002,33.81060028,0,8.629099846,1026.592096,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('39',)",3716913802,7,3.570669889,3742013811,3742013812,3716913802,0,internal_timestamp,75.34100342,1507925002,33.8105011,0,8.629199982,1026.592007,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('40',)",3716913802,7,3.570669889,3742013811,3742013812,3716913802,0,internal_timestamp,75.34100342,1507925002,33.8105011,0,8.629199982,1026.592007,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('41',)",3716913802,7,3.570669889,3742013811,3742013812,3716913802,0,internal_timestamp,75.34500122,1507925002,33.8103981,0,8.629300117,1026.591929,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('42',)",3716913802,7,3.570669889,3742013811,3742013812,3716913802,0,internal_timestamp,75.34899902,1507925002,33.8103981,0,8.629300117,1026.591948,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('43',)",3716913802,7,3.570660114,3742013811,3742013812,3716913802,0,internal_timestamp,75.35199738,1507925002,33.81029892,0,8.629300117,1026.591884,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('44',)",3716913802,7,3.570650101,3742013811,3742013812,3716913802,0,internal_timestamp,75.35500336,1507925002,33.81029892,0,8.629199982,1026.591913,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('45',)",3716913802,7,3.570640087,3742013811,3742013812,3716913802,0,internal_timestamp,75.35800171,1507925002,33.81029892,0,8.629199982,1026.591927,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('46',)",3716913802,7,3.570640087,3742013811,3742013812,3716913802,0,internal_timestamp,75.36100006,1507925002,33.81029892,0,8.629099846,1026.591956,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
